ens_id	gene_symbol	logFC	CI_L	CI_R	AveExpr	t	P_Value	adj_P_Val	B	neg_log_adj_P_Val
ENSG00000148346	LCN2	-8.28124468902122	-13.064854827864	-3.49763455017847	-1.1423605538741	-3.83892343120467	0.00306344115614481	0.0414259287531439	-1.4755019970484	1.38272774608681
ENSG00000189334	S100A14	-7.38715087479513	-8.755667409149	-6.01863434044127	1.35945755314174	-11.9700656100785	2.1262145942451e-07	0.00030032072405514	6.82792698222116	3.52241469766368
ENSG00000180530	NRIP1	-7.23835969990584	-9.03042790462552	-5.44629149518616	3.12567050081438	-8.95684867757267	3.35783737793041e-06	0.000994950873659045	3.97989938391707	3.00219836229498
ENSG00000164379	FOXQ1	-6.52113277557128	-8.56048721919498	-4.48177833194759	0.327557258690215	-7.09087680291951	2.76109083027271e-05	0.00282137947214741	2.60374715321365	2.54953849783036
ENSG00000124107	SLPI	-5.64027532586171	-8.60605582095757	-2.67449483076584	-1.41589662096765	-4.21726518110981	0.00164378572767677	0.0289982416422047	-1.02483702989006	1.53762833548862
ENSG00000273079	GRIN2B	-5.55540583076497	-7.73065335018614	-3.38015831134381	0.363529499481087	-5.6633932502324	0.000182351005441497	0.00804424854980812	1.0434487758783	2.09451451911178
ENSG00000153714	LURAP1L	-5.53748081870171	-7.43310360993932	-3.64185802746411	2.59467354797895	-6.47783562957137	6.01230242072152e-05	0.00430346795229145	2.16140276244118	2.36618142685536
ENSG00000002587	HS3ST1	-5.53270925689868	-6.20841601272502	-4.85700250107234	1.99087290303523	-18.1572134176123	3.40735332180897e-09	1.80478987072917e-05	10.0760653373619	4.74357335514066
ENSG00000162738	VANGL2	-5.49365100223374	-7.72532172090351	-3.26198028356396	-0.751807493298689	-5.45884247106696	0.000244430986792757	0.00965475300577453	0.433577377391852	2.01525883214883
ENSG00000274173	RP4-568C11.4	-5.42767468881184	-7.43264071153887	-3.4227086660848	-2.76324432049728	-6.00311141127818	0.000113545850889985	0.00601423985701527	0.877632201151214	2.2208192555669
ENSG00000272502	RP11-713M15.2	-5.42200372343799	-7.14558195463936	-3.69842549223663	-2.95260404885251	-6.9758706936914	3.18378915735584e-05	0.00304890271738299	1.69022457770419	2.51585643262963
ENSG00000163817	SLC6A20	-5.40833567003558	-6.74027033046489	-4.07640100960628	-0.586881967898177	-9.00430771998021	3.19715226938585e-06	0.000994950873659045	4.07541155860512	3.00219836229498
ENSG00000135480	KRT7	-5.29090999036112	-7.70089916836154	-2.8809208123607	2.13467555155532	-4.86838473013931	0.000588793250245311	0.0157708755915896	0.0592112362989878	1.80214419417652
ENSG00000235609	AF127936.9	-5.24890484268799	-7.06860386636699	-3.42920581900898	-0.128105015092734	-6.39644615098887	6.69058206507059e-05	0.0044858658928054	1.21313438722585	2.34815371400878
