ens_id	gene_symbol	logFC	CI_L	CI_R	AveExpr	t	P_Value	adj_P_Val	B	neg_log_adj_P_Val
ENSG00000203805	PLPP4	-3.4584252750197	-4.94586561893119	-1.97098493110821	-4.07498362339628	-5.15594707110499	0.000381342251504094	0.224430507850479	-1.2684153020249	0.64891810779666
ENSG00000142910	TINAGL1	-3.26527207361846	-5.82035868676103	-0.710185460475883	4.2345136845111	-2.83389241031416	0.0171553650514731	0.999815830823291	-2.92533575249895	7.99910233478342e-05
ENSG00000263680	RP11-57A1.1	-2.99492510805729	-5.2392269802088	-0.750623235905783	-1.42286788743956	-2.95919991389507	0.01379188796498	0.99029635359047	-3.24995571806772	0.00423482008004051
ENSG00000172005	MAL	-2.96884923557195	-5.78924175390928	-0.14845671723462	-2.30062034390185	-2.33425447709848	0.0408994826915667	0.999815830823291	-3.7862605865155	7.99910233478342e-05
ENSG00000173210	ABLIM3	-2.87073345861393	-4.43907329841479	-1.30239361881308	2.9791320054695	-4.05903042772326	0.00212800404601316	0.478051733249964	-1.54326832206999	0.320525102866402
ENSG00000198729	PPP1R14C	-2.6983596968657	-4.50166619085271	-0.895053202878695	2.25191858411586	-3.31817972646208	0.00740861346848146	0.799722484333136	-2.5677923025844	0.0970606935481501
ENSG00000259514	RP11-685G9.2	-2.66786300569104	-4.6089279329717	-0.726798078410377	-0.33770000787875	-3.04784637628522	0.0118223554670586	0.966674659448435	-3.29671418021889	0.0147196659172585
ENSG00000187135	VSTM2B	-2.6628080051356	-3.96861360030525	-1.35700240996596	-2.54658239074382	-4.52200397092292	0.00100920610235808	0.350525404764927	-0.622692506813147	0.455280500523595
ENSG00000184709	LRRC26	-2.62889185915349	-4.31414105789811	-0.943642660408871	-1.3881710510787	-3.45922015644469	0.0058176441361613	0.712476452675431	-3.20961035667224	0.147229484501367
ENSG00000198732	SMOC1	-2.62419056952604	-3.77310696668738	-1.4752741723647	-2.4494941868825	-5.06496622204893	0.000436963424868674	0.237383181607502	0.012672676477492	0.624550053678799
ENSG00000259207	ITGB3	-2.61122842705877	-3.10499413893397	-2.11746271518357	0.15870323623798	-11.7271788167326	2.59450510162255e-07	0.00549697795880769	5.91905352011502	2.25987600441819
ENSG00000141622	RNF165	-2.60890195457171	-3.93255527007607	-1.28524863906734	1.73774962974186	-4.37072132496064	0.00128372535773274	0.39417810368527	-1.26038665635169	0.404307504137697
