"ATAC_SYMBOL","ENSEMBL","RNA_SYMBOL","RNA_logFC","RNA_P_Value","Avg_ATAC_logFC","nb_sig_peak","GENENAME","BAF.gene","TF.gene"
"A1CF","ENSG00000148584","A1CF",2.14754557311889,0.000495868970523364,-0.930633177303777,1,"APOBEC1 complementation factor","NO","NO"
"AACS","ENSG00000081760","AACS",0.125877342929624,0.463462107066401,-0.0523852279496949,2,"acetoacetyl-CoA synthetase","NO","NO"
"AADAC","ENSG00000114771","AADAC",-0.435567010519728,0.158243632646618,-1.33972244380367,1,"arylacetamide deacetylase","NO","NO"
"AADAT","ENSG00000109576","AADAT",0.0916637357140386,0.696891497418482,0.862603407765167,6,"aminoadipate aminotransferase","NO","NO"
"AASS","ENSG00000008311","AASS",-0.603943182885676,0.108748977344966,1.0911548212829,4,"aminoadipate-semialdehyde synthase","NO","NO"
"AATF","ENSG00000275700","AATF",0.0967336894512245,0.47318819727297,-0.457644519689895,2,"apoptosis antagonizing transcription factor","NO","YES"
"AATK","ENSG00000181409","AATK",0.364755720205467,0.127400851556115,0.715926804760527,1,"apoptosis associated tyrosine kinase","NO","NO"
"ABCA2","ENSG00000107331","ABCA2",0.116547895276057,0.557433842680543,1.22258999881895,1,"ATP binding cassette subfamily A member 2","NO","NO"
"ABCA5","ENSG00000154265","ABCA5",-0.930180746288688,0.0360743836818247,1.31880860739125,1,"ATP binding cassette subfamily A member 5","NO","NO"
"ABCC1","ENSG00000103222","ABCC1",0.32384473529091,0.0307293208315609,1.35517980673824,1,"ATP binding cassette subfamily C member 1","NO","NO"
"ABCC2","ENSG00000023839","ABCC2",-1.41665015881554,0.000831941569171363,-1.6404437422016,2,"ATP binding cassette subfamily C member 2","NO","NO"
"ABCC4","ENSG00000125257","ABCC4",0.118404237489846,0.64737165695756,-1.54144166347559,2,"ATP binding cassette subfamily C member 4","NO","NO"
"ABCD4","ENSG00000119688","ABCD4",-0.0965336574592079,0.566276222439855,-1.46428083765967,1,"ATP binding cassette subfamily D member 4","NO","NO"
"ABCE1","ENSG00000164163","ABCE1",0.194523951075196,0.312495695914313,-0.709989702219721,9,"ATP binding cassette subfamily E member 1","NO","NO"
"ABCG1","ENSG00000160179","ABCG1",-0.279045564288328,0.333768199536017,1.07551165672058,2,"ATP binding cassette subfamily G member 1","NO","NO"
"ABHD10","ENSG00000144827","ABHD10",-0.0452806969556043,0.844451900800123,-1.26017927252712,2,"abhydrolase domain containing 10, depalmitoylase","NO","NO"
"ABHD12B","ENSG00000131969","ABHD12B",-0.910157974463172,0.00574716563753655,1.44083583076672,1,"abhydrolase domain containing 12B","NO","NO"
"ABHD13","ENSG00000139826","ABHD13",-0.0562689917809913,0.808267525810616,-0.198581340385637,6,"abhydrolase domain containing 13","NO","NO"
"ABHD16A","ENSG00000204427","ABHD16A",0.106496615519304,0.572429056582199,1.69179108426827,1,"abhydrolase domain containing 16A, phospholipase","NO","NO"
"ABHD17B","ENSG00000107362","ABHD17B",0.206331744656904,0.308218080533001,0.751720199936487,5,"abhydrolase domain containing 17B, depalmitoylase","NO","NO"
"ABHD17C","ENSG00000136379","ABHD17C",0.281190915555865,0.196499676096521,1.38044922042308,1,"abhydrolase domain containing 17C, depalmitoylase","NO","NO"
"ABHD2","ENSG00000140526","ABHD2",0.257722631761303,0.0893582129501984,-1.35505354395334,1,"abhydrolase domain containing 2, acylglycerol lipase","NO","NO"
"ABHD3","ENSG00000158201","ABHD3",-0.249408218928192,0.146016109139195,-1.39535979244332,1,"abhydrolase domain containing 3, phospholipase","NO","NO"
"ABHD4","ENSG00000100439","ABHD4",-0.162068959459618,0.437016446583527,1.27504313572572,1,"abhydrolase domain containing 4, N-acyl phospholipase B","NO","NO"
"ABHD6","ENSG00000163686","ABHD6",0.196452982140149,0.513769038466976,-1.1843347845346,2,"abhydrolase domain containing 6, acylglycerol lipase","NO","NO"
"ABI2","ENSG00000138443","ABI2",-0.0475688305753179,0.81121517294224,-0.472195087873725,2,"abl interactor 2","NO","NO"
"ABI3BP","ENSG00000154175","ABI3BP",-0.028856857665323,0.984053220916447,-0.193068165133513,3,"ABI family member 3 binding protein","NO","NO"
"ABL2","ENSG00000143322","ABL2",-0.282012566936278,0.43622905151737,-0.902762199130527,1,"ABL proto-oncogene 2, non-receptor tyrosine kinase","NO","NO"
"ABLIM1","ENSG00000099204","ABLIM1",-0.19761764163946,0.414728343519343,-1.37748963096379,5,"actin binding LIM protein 1","NO","NO"
"ABLIM3","ENSG00000173210","ABLIM3",-1.02229184993178,0.0134508257745622,-0.949042489147562,3,"actin binding LIM protein family member 3","NO","NO"
"ABR","ENSG00000159842","ABR",0.0324157530536144,0.827032425907672,-1.00213234569522,1,"ABR activator of RhoGEF and GTPase","NO","NO"
"ABTB1","ENSG00000114626","ABTB1",-0.0375840364916389,0.886345628401594,-1.36306713818334,1,"ankyrin repeat and BTB domain containing 1","NO","NO"
"ABTB2","ENSG00000166016","ABTB2",0.233030786584107,0.365892148614944,-0.117667506384994,3,"ankyrin repeat and BTB domain containing 2","NO","NO"
"ABTB3","ENSG00000151136","BTBD11",-1.34503422327264,0.00528069134687231,-1.40258197121674,2,"ankyrin repeat and BTB domain containing 3","NO","NO"
"ACAA1","ENSG00000060971","ACAA1",0.188728576721907,0.61728424773037,-0.31216489955882,1,"acetyl-CoA acyltransferase 1","NO","NO"
"ACAA2","ENSG00000167315","ACAA2",0.252391353080006,0.420508432949019,-1.3822201407072,2,"acetyl-CoA acyltransferase 2","NO","NO"
"ACACA","ENSG00000278540","ACACA",0.0232359190853817,0.933497479312088,1.3469432837684,1,"acetyl-CoA carboxylase alpha","NO","NO"
"ACADL","ENSG00000115361","ACADL",0.413334262779433,0.720203177260914,1.62914611878217,1,"acyl-CoA dehydrogenase long chain","NO","NO"
"ACADM","ENSG00000117054","ACADM",0.127816349534476,0.416794523835817,0.84349589205672,1,"acyl-CoA dehydrogenase medium chain","NO","NO"
"ACADSB","ENSG00000196177","ACADSB",-0.347626295551216,0.0986351936862344,-1.09638719643904,1,"acyl-CoA dehydrogenase short/branched chain","NO","NO"
"ACADVL","ENSG00000072778","ACADVL",0.0433640201594443,0.850865981441781,1.12924787036126,1,"acyl-CoA dehydrogenase very long chain","NO","NO"
"ACBD6","ENSG00000230124","ACBD6",-0.0220568739573839,0.931790151638755,-1.75143344139199,1,"acyl-CoA binding domain containing 6","NO","NO"
"ACBD7","ENSG00000176244","ACBD7",0.257727102138145,0.67396161837712,1.92203443262856,1,"acyl-CoA binding domain containing 7","NO","NO"
"ACER2","ENSG00000177076","ACER2",0.0831801803594518,0.769457915655033,1.11809622990227,6,"alkaline ceramidase 2","NO","NO"
"ACER3","ENSG00000078124","ACER3",-0.183124488078605,0.243380319173698,0.643916327360506,1,"alkaline ceramidase 3","NO","NO"
