"ATAC_SYMBOL","ENSEMBL","RNA_SYMBOL","RNA_logFC","RNA_P_Value","Avg_ATAC_logFC","nb_sig_peak","GENENAME","BAF.gene","TF.gene"
"A1CF","ENSG00000148584","A1CF",4.21665306952821,2.73851040659176e-05,1.58176065753826,1,"APOBEC1 complementation factor","NO","NO"
"AAAS","ENSG00000094914","AAAS",-0.0680744021883992,0.712140661098717,0.853738246829855,1,"aladin WD repeat nucleoporin","NO","NO"
"AACS","ENSG00000081760","AACS",0.0262886972500098,0.876566298445069,1.42507956825586,1,"acetoacetyl-CoA synthetase","NO","NO"
"AADAT","ENSG00000109576","AADAT",-0.621015932874637,0.0172698952957834,0.0551439908965785,14,"aminoadipate aminotransferase","NO","NO"
"AAK1","ENSG00000115977","AAK1",-0.486206570745802,0.052593555613388,-1.01032491626576,2,"AP2 associated kinase 1","NO","NO"
"AAR2","ENSG00000131043","AAR2",0.196411048124396,0.184942060033054,1.80183844475311,1,"AAR2 splicing factor","NO","NO"
"AARSD1","ENSG00000266967","AARSD1",-0.372614633587173,0.0835000312102034,1.31328359535542,2,"alanyl-tRNA synthetase domain containing 1","NO","NO"
"AASDH","ENSG00000157426","AASDH",-0.41231881154033,0.0822429618640013,-1.89113794054045,2,"aminoadipate-semialdehyde dehydrogenase","NO","NO"
"AASS","ENSG00000008311","AASS",-0.438542037113406,0.236870657053088,1.57871621864257,3,"aminoadipate-semialdehyde synthase","NO","NO"
"AATF","ENSG00000275700","AATF",0.293228991413391,0.0459906344857672,-1.28885058508714,1,"apoptosis antagonizing transcription factor","NO","YES"
"AATK","ENSG00000181409","AATK",1.01230535633603,0.00141894248945224,1.22006377886137,1,"apoptosis associated tyrosine kinase","NO","NO"
"ABCA1","ENSG00000165029","ABCA1",0.557090244728779,0.606145951760951,-1.39607339836376,1,"ATP binding cassette subfamily A member 1","NO","NO"
"ABCA12","ENSG00000144452","ABCA12",-4.3635380195037,9.29316352676616e-05,-2.59992346789292,2,"ATP binding cassette subfamily A member 12","NO","NO"
