"ATAC_SYMBOL","ENSEMBL","RNA_SYMBOL","RNA_logFC","RNA_P_Value","Avg_ATAC_logFC","nb_sig_peak","GENENAME","BAF.gene","TF.gene"
"AAAS","ENSG00000094914","AAAS",-0.0942314376157345,0.608091369923159,0.937502432433853,1,"aladin WD repeat nucleoporin","NO","NO"
"AADAT","ENSG00000109576","AADAT",-0.712679668588676,0.00718068181271427,-1.3163305294187,6,"aminoadipate aminotransferase","NO","NO"
"AAK1","ENSG00000115977","AAK1",-0.123131524065671,0.580301900658568,-0.714253577140767,2,"AP2 associated kinase 1","NO","NO"
"AAR2","ENSG00000131043","AAR2",0.246036622212426,0.0983656082175638,1.7226517649892,2,"AAR2 splicing factor","NO","NO"
"AARSD1","ENSG00000266967","AARSD1",-0.401632987322003,0.0597187900485099,1.36080869480738,2,"alanyl-tRNA synthetase domain containing 1","NO","NO"
"AASDH","ENSG00000157426","AASDH",-0.149769603103528,0.477014161900217,-0.924435718989425,1,"aminoadipate-semialdehyde dehydrogenase","NO","NO"
"AASS","ENSG00000008311","AASS",0.165401145772271,0.610405700062824,0.211149877932005,2,"aminoadipate-semialdehyde synthase","NO","NO"
"AATF","ENSG00000275700","AATF",0.196495301962166,0.161517313014147,-1.17691586782825,2,"apoptosis antagonizing transcription factor","NO","YES"
"ABCA1","ENSG00000165029","ABCA1",0.908293149536315,0.375996246921403,0.761492179728253,1,"ATP binding cassette subfamily A member 1","NO","NO"
"ABCA12","ENSG00000144452","ABCA12",-4.00170844064145,5.55809553282338e-05,-1.73117207714225,2,"ATP binding cassette subfamily A member 12","NO","NO"
"ABCA5","ENSG00000154265","ABCA5",0.25776168554835,0.477215378591907,1.52122360373507,3,"ATP binding cassette subfamily A member 5","NO","NO"
"ABCB1","ENSG00000085563","ABCB1",0.920113417158967,0.120699397471348,1.55690619129539,1,"ATP binding cassette subfamily B member 1","NO","NO"
"ABCC1","ENSG00000103222","ABCC1",0.0197248537199091,0.881949754687691,-0.631184188303823,3,"ATP binding cassette subfamily C member 1","NO","NO"
"ABCC11","ENSG00000121270","ABCC11",-0.129515904310524,0.626210268260083,-1.1361796594571,1,"ATP binding cassette subfamily C member 11","NO","NO"
"ABCC2","ENSG00000023839","ABCC2",-0.373348952840552,0.210398495904728,-1.94767041953858,1,"ATP binding cassette subfamily C member 2","NO","NO"
"ABCC3","ENSG00000108846","ABCC3",-0.529898781045663,0.291397843467009,-0.887418877021464,1,"ATP binding cassette subfamily C member 3","NO","NO"
"ABCC4","ENSG00000125257","ABCC4",-0.47208192005965,0.083284771674654,-1.30295739064133,2,"ATP binding cassette subfamily C member 4","NO","NO"
"ABCC5","ENSG00000114770","ABCC5",0.290098351660995,0.251731288210067,-1.20919535492699,1,"ATP binding cassette subfamily C member 5","NO","NO"
"ABCC6","ENSG00000091262","ABCC6",0.67216313588745,0.0347666133420252,-0.970856930828797,1,"ATP binding cassette subfamily C member 6","NO","NO"
"ABCD3","ENSG00000117528","ABCD3",0.124965715763165,0.49522207211832,1.05942024192483,1,"ATP binding cassette subfamily D member 3","NO","NO"
