"ATAC_SYMBOL","ENSEMBL","RNA_SYMBOL","RNA_logFC","RNA_P_Value","Avg_ATAC_logFC","nb_sig_peak","GENENAME","BAF.gene","TF.gene"
"AAR2","ENSG00000131043","AAR2",-0.0290527944698757,0.837860375780369,-1.17260908268337,1,"AAR2 splicing factor","NO","NO"
"AARS2","ENSG00000124608","AARS2",-0.135434207103968,0.638455097575359,-1.12759417755075,1,"alanyl-tRNA synthetase 2, mitochondrial","NO","NO"
"AASS","ENSG00000008311","AASS",-0.0887001530356231,0.791672573605659,1.58925726995451,1,"aminoadipate-semialdehyde synthase","NO","NO"
"ABCA5","ENSG00000154265","ABCA5",0.0770727622269582,0.834753405175028,1.47533216242446,2,"ATP binding cassette subfamily A member 5","NO","NO"
"ABCC11","ENSG00000121270","ABCC11",-0.114084991242335,0.671878560894317,1.32234955020291,1,"ATP binding cassette subfamily C member 11","NO","NO"
"ABCC3","ENSG00000108846","ABCC3",-0.0374145791700071,0.939245375746573,0.957042961385149,1,"ATP binding cassette subfamily C member 3","NO","NO"
"ABCC4","ENSG00000125257","ABCC4",0.103576637955396,0.678891078397877,1.68284971811011,1,"ATP binding cassette subfamily C member 4","NO","NO"
"ABCC6","ENSG00000091262","ABCC6",-0.573219145120505,0.105974687414971,-1.11287825315646,1,"ATP binding cassette subfamily C member 6","NO","NO"
"ABCD4","ENSG00000119688","ABCD4",0.0196175613983813,0.899781254240689,1.49661722955454,1,"ATP binding cassette subfamily D member 4","NO","NO"
"ABCE1","ENSG00000164163","ABCE1",0.0887205185954985,0.646860707405974,-0.937356036703586,2,"ATP binding cassette subfamily E member 1","NO","NO"
"ABCG1","ENSG00000160179","ABCG1",-0.254331075173129,0.392379124274532,-1.54034107615866,1,"ATP binding cassette subfamily G member 1","NO","NO"
"ABHD13","ENSG00000139826","ABHD13",0.135227492280597,0.552408259457736,0.395038384270727,3,"abhydrolase domain containing 13","NO","NO"
"ABHD17B","ENSG00000107362","ABHD17B",0.13906520059379,0.489966601667763,-0.434606717613092,6,"abhydrolase domain containing 17B, depalmitoylase","NO","NO"
"ABHD2","ENSG00000140526","ABHD2",-0.114091335320984,0.4233641425918,1.13925027657199,1,"abhydrolase domain containing 2, acylglycerol lipase","NO","NO"
"ABHD5","ENSG00000011198","ABHD5",-0.270929626449158,0.200524934229249,-1.28003561684853,1,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase","NO","NO"
"ABHD6","ENSG00000163686","ABHD6",0.0127261230809284,0.96758447636114,-0.996922820667125,1,"abhydrolase domain containing 6, acylglycerol lipase","NO","NO"
"ABI3BP","ENSG00000154175","ABI3BP",0.286289554552042,0.836270427106092,1.45802241222564,1,"ABI family member 3 binding protein","NO","NO"
"ABL1","ENSG00000097007","ABL1",-0.122719810843383,0.40376312883963,-1.40254498017817,1,"ABL proto-oncogene 1, non-receptor tyrosine kinase","NO","YES"
"ABLIM1","ENSG00000099204","ABLIM1",-0.106381860213591,0.675207356778095,-1.18977012270151,4,"actin binding LIM protein 1","NO","NO"
"ABLIM2","ENSG00000163995","ABLIM2",0.0442491247976995,0.854199775358743,-1.28321562501471,1,"actin binding LIM protein family member 2","NO","NO"
"ABLIM3","ENSG00000173210","ABLIM3",-0.332976029261924,0.283022778450221,0.961429939891781,1,"actin binding LIM protein family member 3","NO","NO"
"ABRACL","ENSG00000146386","ABRACL",-0.0644520724937263,0.673641734850678,1.07808732533672,1,"ABRA C-terminal like","NO","NO"
"ABTB1","ENSG00000114626","ABTB1",-0.0502069280271016,0.860809786580106,-1.09340518154863,2,"ankyrin repeat and BTB domain containing 1","NO","NO"
"ABTB3","ENSG00000151136","BTBD11",-0.236358873912527,0.380590237766667,-1.44746724282432,1,"ankyrin repeat and BTB domain containing 3","NO","NO"
"ACADM","ENSG00000117054","ACADM",-0.0683150425442358,0.659551627604677,1.46838212745487,1,"acyl-CoA dehydrogenase medium chain","NO","NO"
"ACBD3","ENSG00000182827","ACBD3",-0.0747907894292004,0.743805434843758,1.81189021989921,1,"acyl-CoA binding domain containing 3","NO","NO"
"ACBD5","ENSG00000107897","ACBD5",0.0187514921217282,0.908523715999702,-1.86927302499744,1,"acyl-CoA binding domain containing 5","NO","NO"
"ACBD6","ENSG00000230124","ACBD6",-0.0168094142902344,0.946238600902294,0.925379855557649,1,"acyl-CoA binding domain containing 6","NO","NO"
"ACER2","ENSG00000177076","ACER2",-0.0912078421527092,0.757933214598449,0.515110388867274,1,"alkaline ceramidase 2","NO","NO"
"ACO1","ENSG00000122729","ACO1",0.0308953123915918,0.863821677811368,1.32851206294689,2,"aconitase 1","NO","NO"
"ACOX2","ENSG00000168306","ACOX2",0.439564583496566,0.302581735009858,-1.13940670856115,2,"acyl-CoA oxidase 2","NO","NO"
"ACOXL","ENSG00000153093","ACOXL",0.159462584910421,0.594582413284161,-1.10037610016241,1,"acyl-CoA oxidase like","NO","NO"
"ACP5","ENSG00000102575","ACP5",-1.04258165422312,0.710229182550861,0.867008965665676,1,"acid phosphatase 5, tartrate resistant","NO","NO"
"ACSF3","ENSG00000176715","ACSF3",0.123277744885742,0.495033100337682,1.42936401692313,1,"acyl-CoA synthetase family member 3","NO","NO"
"ACSL3","ENSG00000123983","ACSL3",-0.0572895433014171,0.81270147212271,-1.17027348494122,1,"acyl-CoA synthetase long chain family member 3","NO","NO"
"ACTB","ENSG00000075624","ACTB",-0.054267761030852,0.776255626994906,-1.04728139887674,1,"actin beta","YES","NO"
"ACTC1","ENSG00000159251","ACTC1",0.0387634331216351,0.979428275462614,1.20327572876447,1,"actin alpha cardiac muscle 1","NO","NO"
"ACTR10","ENSG00000131966","ACTR10",0.11609230476805,0.439742325323082,1.08103631554176,2,"actin related protein 10","NO","NO"
"ACTR1B","ENSG00000115073","ACTR1B",0.0587325688472369,0.825691033849575,1.48157405363472,1,"actin related protein 1B","NO","NO"
"ACTR2","ENSG00000138071","ACTR2",-0.0709578587267448,0.731272598544866,-1.35096973331001,1,"actin related protein 2","NO","NO"
"ACTR3","ENSG00000115091","ACTR3",-0.028306401061216,0.887638678466702,1.15865499874841,2,"actin related protein 3","NO","NO"
"ACTR3B","ENSG00000133627","ACTR3B",0.0643490068655659,0.689545338641089,0.232537649338112,2,"actin related protein 3B","NO","YES"
"ACTR8","ENSG00000113812","ACTR8",-0.0157204313162236,0.93782490063538,-0.290543848551794,5,"actin related protein 8","NO","NO"
"ACVR1","ENSG00000115170","ACVR1",0.0848920500462755,0.662453044172078,1.54004762173708,2,"activin A receptor type 1","NO","NO"
"ACVR1C","ENSG00000123612","ACVR1C",0.0608377114107035,0.847696741658927,0.496751963547581,1,"activin A receptor type 1C","NO","NO"
"ACVR2A","ENSG00000121989","ACVR2A",0.120095689775221,0.506153935079725,0.448519544639224,4,"activin A receptor type 2A","NO","NO"
"ADA","ENSG00000196839","ADA",0.0421251041688016,0.944056550685639,1.18435262305858,1,"adenosine deaminase","NO","NO"
"ADAM32","ENSG00000197140","ADAM32",-0.22231179257082,0.535710556414106,0.996284674011126,2,"ADAM metallopeptidase domain 32","NO","NO"
