"ATAC_SYMBOL","ENSEMBL","RNA_SYMBOL","RNA_logFC","RNA_P_Value","Avg_ATAC_logFC","nb_sig_peak","GENENAME","BAF.gene","TF.gene"
"AADAT","ENSG00000109576","AADAT",-0.117576824470442,0.695058121598437,1.71210756557748,2,"aminoadipate aminotransferase","NO","NO"
"AASDH","ENSG00000157426","AASDH",-0.475210995255032,0.0314636545817541,-1.47369664062272,1,"aminoadipate-semialdehyde dehydrogenase","NO","NO"
"AASS","ENSG00000008311","AASS",0.25552053973162,0.311292404473696,0.235805418566458,5,"aminoadipate-semialdehyde synthase","NO","NO"
"AATF","ENSG00000275700","AATF",0.0683987208290446,0.611930464532332,-1.26572138635515,1,"apoptosis antagonizing transcription factor","NO","YES"
"ABCA1","ENSG00000165029","ABCA1",0.28817170905981,0.867685913274372,-0.00620895310843994,2,"ATP binding cassette subfamily A member 1","NO","NO"
"ABCA12","ENSG00000144452","ABCA12",-0.859222936784729,0.149236847323852,-1.26081087501585,1,"ATP binding cassette subfamily A member 12","NO","NO"
"ABCA2","ENSG00000107331","ABCA2",-0.223239369029478,0.228379316582493,-1.11586272847484,2,"ATP binding cassette subfamily A member 2","NO","NO"
"ABCA3","ENSG00000167972","ABCA3",0.220765893261944,0.351810250926063,-1.21345465529348,1,"ATP binding cassette subfamily A member 3","NO","NO"
"ABCA5","ENSG00000154265","ABCA5",-0.0320015831025153,0.937866915100176,0.257576650711193,2,"ATP binding cassette subfamily A member 5","NO","NO"
"ABCB1","ENSG00000085563","ABCB1",-0.712421573872844,0.268665450227748,1.62437516302423,1,"ATP binding cassette subfamily B member 1","NO","NO"
"ABCB10","ENSG00000135776","ABCB10",0.0324536584471034,0.908043613859224,-1.22256129628787,1,"ATP binding cassette subfamily B member 10","NO","NO"
"ABCC1","ENSG00000103222","ABCC1",0.125961019634631,0.329923565785824,-1.10675714502518,1,"ATP binding cassette subfamily C member 1","NO","NO"
"ABCC3","ENSG00000108846","ABCC3",-0.902464271677617,0.0915168320600254,-1.1011672848617,1,"ATP binding cassette subfamily C member 3","NO","NO"
"ABCC4","ENSG00000125257","ABCC4",-0.0715805152643476,0.777884813900867,0.087625435923531,3,"ATP binding cassette subfamily C member 4","NO","NO"
"ABCC6","ENSG00000091262","ABCC6",-0.259078593360887,0.372482585222936,-1.37455571324636,1,"ATP binding cassette subfamily C member 6","NO","NO"
"ABCE1","ENSG00000164163","ABCE1",-0.0163395690526009,0.932742817663581,-1.52633072357849,6,"ATP binding cassette subfamily E member 1","NO","NO"
"ABHD10","ENSG00000144827","ABHD10",-0.479530647125554,0.0328261403949916,-0.380208790525823,3,"abhydrolase domain containing 10, depalmitoylase","NO","NO"
