mouse_ens_id	mouse_gene_symbol	human_ens_id	human_gene_symbol	human_chromosome	human_gene_start_bp
ENSMUSG00000065990	Aurkaip1	ENSG00000175756	AURKAIP1	1	1373730
ENSMUSG00000029072	Tas1r3	ENSG00000169962	TAS1R3	1	1331280
ENSMUSG00000074738	B930041F14Rik	ENSG00000228594	FNDC10	1	1598012
ENSMUSG00000029076	Sdf4	ENSG00000078808	SDF4	1	1216908
ENSMUSG00000029033	Acap3	ENSG00000131584	ACAP3	1	1292390
ENSMUSG00000029074	Ttll10	ENSG00000162571	TTLL10	1	1173880
ENSMUSG00000064367	mt-Nd5	ENSG00000198786	MT-ND5	MT	12337
ENSMUSG00000029071	Dvl1	ENSG00000107404	DVL1	1	1335276
ENSMUSG00000042116	Vwa1	ENSG00000179403	VWA1	1	1434861
ENSMUSG00000029038	Ssu72	ENSG00000160075	SSU72	1	1541673
ENSMUSG00000029053	Prkcz	ENSG00000067606	PRKCZ	1	2050411
ENSMUSG00000023571	Fam132a	ENSG00000184163	C1QTNF12	1	1242446
ENSMUSG00000078485	Plekhn1	ENSG00000187961	KLHL17	1	960584
ENSMUSG00000023153	Tmem52	ENSG00000178821	TMEM52	1	1917590
ENSMUSG00000029047	Pex10	ENSG00000157911	PEX10	1	2403964
ENSMUSG00000108891	NA	ENSG00000186092	OR4F5	1	65419
ENSMUSG00000064360	mt-Nd3	ENSG00000198840	MT-ND3	MT	10059
ENSMUSG00000029070	Mxra8	ENSG00000162576	MXRA8	1	1352689
ENSMUSG00000041936	Agrn	ENSG00000188157	AGRN	1	1020120
ENSMUSG00000064356	mt-Atp8	ENSG00000228253	MT-ATP8	MT	8366
ENSMUSG00000065549	Mir200b	ENSG00000207730	MIR200B	1	1167104
ENSMUSG00000064357	mt-Atp6	ENSG00000198899	MT-ATP6	MT	8527
ENSMUSG00000064351	mt-Co1	ENSG00000198804	MT-CO1	MT	5904
ENSMUSG00000096351	Samd11	ENSG00000187634	SAMD11	1	923928
ENSMUSG00000064354	mt-Co2	ENSG00000198712	MT-CO2	MT	7586
ENSMUSG00000108908	NA	ENSG00000186092	OR4F5	1	65419
ENSMUSG00000029068	Ccnl2	ENSG00000221978	CCNL2	1	1385711
ENSMUSG00000029063	Nadk	ENSG00000008130	NADK	1	1751232
ENSMUSG00000041954	Tnfrsf18	ENSG00000186891	TNFRSF18	1	1203508
ENSMUSG00000093804	Olfr1303	ENSG00000284733	OR4F29	1	450703
ENSMUSG00000093804	Olfr1303	ENSG00000284662	OR4F16	1	685679
ENSMUSG00000064345	mt-Nd2	ENSG00000198763	MT-ND2	MT	4470
ENSMUSG00000073680	Tmem88b	ENSG00000205116	TMEM88B	1	1426128
ENSMUSG00000029050	Ski	ENSG00000157933	SKI	1	2228319
ENSMUSG00000029066	Mrpl20	ENSG00000242485	MRPL20	1	1401909
ENSMUSG00000061195	Olfr1289	ENSG00000186092	OR4F5	1	65419
ENSMUSG00000029075	Tnfrsf4	ENSG00000186827	TNFRSF4	1	1211340
ENSMUSG00000065400	Mir200a	ENSG00000207607	MIR200A	1	1167863
ENSMUSG00000051557	Pusl1	ENSG00000169972	PUSL1	1	1308597
ENSMUSG00000029062	Cdk11b	ENSG00000248333	CDK11B	1	1635227
ENSMUSG00000029062	Cdk11b	ENSG00000008128	CDK11A	1	1702379
ENSMUSG00000029048	Rer1	ENSG00000157916	RER1	1	2391775
ENSMUSG00000078490	C030017K20Rik	ENSG00000142609	CFAP74	1	1921951
ENSMUSG00000029049	Morn1	ENSG00000116151	MORN1	1	2321253
ENSMUSG00000064358	mt-Co3	ENSG00000198938	MT-CO3	MT	9207
ENSMUSG00000029064	Gnb1	ENSG00000078369	GNB1	1	1785285
ENSMUSG00000084845	Tmem240	ENSG00000205090	TMEM240	1	1534778
ENSMUSG00000029061	Mmp23	ENSG00000189409	MMP23B	1	1632163
ENSMUSG00000042202	Slc35e2	ENSG00000189339	SLC35E2B	1	1659529
ENSMUSG00000064370	mt-Cytb	ENSG00000198727	MT-CYB	MT	14747
ENSMUSG00000029060	Mib2	ENSG00000197530	MIB2	1	1615415
ENSMUSG00000023286	Ube2j2	ENSG00000160087	UBE2J2	1	1253909
ENSMUSG00000029036	Atad3a	ENSG00000197785	ATAD3A	1	1512162
